"item_id";"item_parent_id";"item_type";"item_name";"item_url";"item_order";"item_length";"item_width";"is_delete";"create_username";"create_timestamp";"update_username";"update_timestamp"
1;0;3;"f1";"footer/f1.jpg";1;950;300;0;"";"";"";""
2;0;2;"h1";"header/h1.jpg";1;72;44;0;"";"";"";""
3;0;2;"h2";"header/h2.jpg";1;72;44;0;"";"";"";""
4;0;2;"h3";"header/h3.jpg";1;72;44;0;"";"";"";""
6;0;1;"item_list1";"item_list/item_list1.jpg";1;4482;2800;0;"";"";"";""
7;0;1;"item_list2";"item_list/item_list2.jpg";2;4482;2800;0;"";"";"";""
8;0;1;"item_list3";"item_list/item_list3.jpg";3;4482;2800;0;"";"";"";""
9;0;1;"item_list4";"item_list/item_list4.jpg";4;4482;2800;0;"";"";"";""
10;0;1;"item_list5";"item_list/item_list5.jpg";5;4482;2800;0;"";"";"";""
11;1;1;"item1";"items/item1.jpg";1;950;1200;0;"";"";"";""
12;1;1;"item2";"items/item2.jpg";1;950;1200;0;"";"";"";""
13;3;1;"item3";"items/item3.jpg";0;950;1500;0;"";"";"";""
14;3;1;"item4";"items/item4.jpg";1;950;1200;0;"";"";"";""
16;6;1;"item6";"items/item6.jpg";1;950;1500;0;"";"";"";""
17;7;1;"item7";"items/item7.jpg";1;950;1500;0;"";"";"";""
18;8;1;"item8";"items/item8.jpg";1;950;1500;0;"";"";"";""
19;9;1;"item9";"items/item9.jpg";1;950;1500;0;"";"";"";""
20;10;1;"item10";"items/item10.jpg";1;950;1500;0;"";"";"";""
21;2;1;"item_list1";"item_list/item_list1.jpg";1;4482;2800;0;"";"";"";""
22;2;1;"item_list2";"item_list/item_list2.jpg";2;4482;2800;0;"";"";"";""
23;2;1;"item_list3";"item_list/item_list3.jpg";3;4482;2800;0;"";"";"";""
24;2;1;"item_list4";"item_list/item_list4.jpg";4;4482;2800;0;"";"";"";""
25;2;1;"item_list5";"item_list/item_list5.jpg";5;4482;2800;0;"";"";"";""
26;21;1;"item6";"items/item6.jpg";1;950;1500;0;"";"";"";""
27;22;1;"item7";"items/item7.jpg";1;950;1500;0;"";"";"";""
28;23;1;"item8";"items/item8.jpg";1;950;1500;0;"";"";"";""
29;24;1;"item9";"items/item9.jpg";1;950;1500;0;"";"";"";""
30;25;1;"item10";"items/item10.jpg";1;950;1500;0;"";"";"";""
